index,Symbol,Company,Earnings Date,EPS Estimate
4,ACA,Arcosa Inc,2023-08-01,0.49
5,ACA,Arcosa Inc,2023-04-28,0.55
6,ACA,"Arcosa, Inc.",2023-04-27,0.55
7,ACA,Arcosa Inc,2023-02-24,0.21
8,ACA,"Arcosa, Inc.",2023-02-23,0.21
9,ACA,"Arcosa, Inc.",2022-11-02,0.62
10,ACA,"Arcosa, Inc.",2022-08-03,0.46
11,ACA,"Arcosa, Inc.",2022-04-28,0.22
12,ACA,"Arcosa, Inc.",2022-02-23,0.21
13,ACA,"Arcosa, Inc.",2021-11-03,0.5
14,ACA,"Arcosa, Inc.",2021-08-04,0.57
15,ACA,"Arcosa, Inc.",2021-04-29,0.21
16,ACA,"Arcosa, Inc.",2021-02-24,0.42
17,ACA,"Arcosa, Inc.",2020-10-28,0.65
18,ACA,"Arcosa, Inc.",2020-07-30,0.6
19,ACA,"Arcosa, Inc.",2020-04-28,0.51
20,ACA,"Arcosa, Inc.",2020-02-26,0.42
21,ACA,"Arcosa, Inc.",2019-10-30,0.54
22,ACA,"Arcosa, Inc.",2019-08-01,0.47
23,ACA,"Arcosa, Inc.",2019-05-02,0.33
24,ACA,"Arcosa, Inc.",2019-02-27,0.28
