index,Symbol,Company,Earnings Date,EPS Estimate
4,GFL,GFL Environmental Inc,2023-04-28,-0.03
5,GFL,GFL Environmental Inc,2023-04-27,-0.03
6,GFL,GFL Environmental Inc,2023-02-22,0.06
7,GFL,GFL Environmental Inc.,2023-02-21,0.08
8,GFL,GFL Environmental Inc.,2022-11-02,0.16
9,GFL,GFL Environmental Inc.,2022-07-27,0.08
10,GFL,GFL Environmental Inc.,2022-05-04,0.03
11,GFL,GFL Environmental Inc.,2022-02-09,0.11
12,GFL,GFL Environmental Inc.,2021-11-03,0.13
13,GFL,GFL Environmental Inc.,2021-07-28,0.02
14,GFL,GFL Environmental Inc.,2021-05-05,-0.09
15,GFL,GFL Environmental Inc.,2021-02-22,0.08
16,GFL,GFL Environmental Inc.,2020-11-04,0.09
17,GFL,GFL Environmental Inc.,2020-08-05,-0.05
18,GFL,GFL Environmental Inc.,2020-05-11,-0.45
