index,Symbol,Company,Earnings Date,EPS Estimate
4,AAPL,Apple Inc,2023-05-04,1.43
5,AAPL,Apple Inc,2023-05-04,1.43
6,AAPL,Apple Inc.,2023-02-02,1.94
7,AAPL,Apple Inc.,2022-10-27,1.27
8,AAPL,Apple Inc.,2022-07-28,1.16
9,AAPL,Apple Inc.,2022-04-28,1.43
10,AAPL,Apple Inc.,2022-01-27,1.89
11,AAPL,Apple Inc.,2021-10-28,1.24
12,AAPL,Apple Inc.,2021-07-27,1.01
13,AAPL,Apple Inc.,2021-04-28,0.99
14,AAPL,Apple Inc.,2021-01-27,1.41
15,AAPL,Apple Inc.,2020-10-29,0.7
16,AAPL,Apple Inc.,2020-07-30,0.51
17,AAPL,Apple Inc.,2020-04-30,0.57
18,AAPL,Apple Inc.,2020-01-28,1.14
19,AAPL,Apple Inc.,2019-10-30,0.71
20,AAPL,Apple Inc.,2019-07-30,0.52
21,AAPL,Apple Inc.,2019-04-30,0.59
22,AAPL,Apple Inc.,2019-01-29,1.04
23,AAPL,Apple Inc.,2018-11-01,0.7
24,AAPL,Apple Inc.,2018-07-31,0.55
