index,Symbol,Company,Earnings Date,EPS Estimate
0,GOOG,Alphabet Inc.,2023-02-02,1.19
1,GOOG,Alphabet Inc.,2022-10-25,1.25
2,GOOG,Alphabet Inc.,2022-07-26,1.3
3,GOOG,Alphabet Inc.,2022-04-26,1.29
4,GOOG,Alphabet Inc.,2022-02-01,1.38
5,GOOG,Alphabet Inc.,2021-10-26,1.17
6,GOOG,Alphabet Inc.,2021-07-27,0.96
7,GOOG,Alphabet Inc.,2021-04-27,0.79
8,GOOG,Alphabet Inc.,2021-02-02,0.8
9,GOOG,Alphabet Inc.,2020-10-29,0.56
10,GOOG,Alphabet Inc.,2020-07-30,0.42
11,GOOG,Alphabet Inc.,2020-04-28,0.52
12,GOOG,Alphabet Inc.,2020-02-03,0.63
13,GOOG,Alphabet Inc.,2019-10-28,0.62
14,GOOG,Alphabet Inc.,2019-07-25,0.57
15,GOOG,Alphabet Inc.,2019-04-29,0.53
16,GOOG,Alphabet Inc.,2019-02-04,0.54
17,GOOG,Alphabet Inc.,2018-10-25,0.52
18,GOOG,Alphabet Inc.,2018-07-23,0.48
19,GOOG,Alphabet Inc.,2018-04-23,0.47
